ticker_symbol,post_date,open_value,high_value,low_value,close_value,volume,reaction_num,compound,writer,body,positive,negative,sp_close,pct_change,sp_pct_change,ratio_pos,ratio_neg
AAPL,2015-01-10,111.39,111.44,107.35,109.33,25774728450,1086,0.1926292783505154,275,485,331,154,2058.2,,,0.6824742268041237,0.31752577319587627
AAPL,2015-01-17,108.29,113.25,104.63,112.01,187902248620,3161,0.27544860521527903,851,3298,2438,860,2044.81,2.4512942467758148,-0.6505684578758109,0.7392359005457854,0.2607640994542147
AAPL,2015-01-24,112.6,112.8,105.2,105.99,182474199110,2237,0.20063295263688172,928,2977,2027,950,2019.42,-5.3745201321310665,-1.2416801561025204,0.6808867987907289,0.31911320120927106
AAPL,2015-01-31,107.84,113.75,106.5,112.98,103981295040,1817,0.2874889838556497,625,2106,1565,541,2051.82,6.594961788848019,1.6044210713967333,0.7431149097815765,0.25688509021842354
AAPL,2015-02-07,113.74,120.0,109.03,117.16,757367131060,12503,0.242569677594885,2733,7351,5346,2005,1994.99,3.6997698707735838,-2.769736136698153,0.7272479934702761,0.27275200652972387
AAPL,2015-02-14,118.05,120.51,116.08,118.93,160295145990,3371,0.21970576458405264,917,2897,2026,871,2055.47,1.5107545237282416,3.0315941433290305,0.699344149119779,0.3006558508802209
AAPL,2015-02-21,118.55,127.48,118.43,127.08,295117083570,9221,0.26036136118888503,1694,4643,3471,1172,2096.99,6.852770537290831,2.0199759665672667,0.7475769976308422,0.2524230023691579
AAPL,2015-02-28,127.49,129.5,126.92,129.495,130463588800,3226,0.23112132075471753,960,2650,1851,799,2110.3,1.9003777148253187,0.6347192881225094,0.6984905660377358,0.30150943396226415
AAPL,2015-03-07,130.02,133.6,126.61,128.46,374402704060,6101,0.26204061248999094,1818,4996,3539,1457,2104.5,-0.7992586586354711,-0.2748424394635962,0.7083666933546837,0.2916333066453162
AAPL,2015-03-14,129.25,130.28,125.76,126.6,197936891700,4315,0.2625722466960366,1360,3859,2799,1060,2071.26,-1.4479215319944005,-1.5794725588025527,0.7253174397512309,0.27468256024876914
AAPL,2015-03-21,127.96,129.57,121.63,123.59,440405209560,8169,0.2578909371447108,2152,6157,4434,1723,2053.4,-2.377567140600312,-0.8622770680648539,0.7201559200909534,0.27984407990904664
AAPL,2015-03-28,123.88,129.2451,122.87,125.9,205343442160,2940,0.3095110502997151,1120,3837,2903,934,2108.1,1.8690832591633733,2.6638745495276117,0.7565806619755017,0.2434193380244983
AAPL,2015-04-04,127.12,128.04,122.6,123.25,104472442150,1770,0.3415969278033819,872,2604,1977,627,2061.02,-2.1048451151707726,-2.2332906408614406,0.7592165898617511,0.24078341013824886
AAPL,2015-04-11,124.05,126.49,123.1,125.32,98222935830,2751,0.3688171926910328,831,2408,1895,513,2066.96,1.6795131845841693,0.2882068102201929,0.7869601328903655,0.21303986710963455
AAPL,2015-04-18,124.47,128.1218,124.33,127.1,122840533680,3231,0.25678714668253444,1223,3361,2371,990,2102.06,1.4203638684966435,1.6981460695901118,0.7054448080928295,0.2945551919071705
AAPL,2015-04-25,128.37,128.57,124.46,124.75,94891495860,3629,0.20957097711587314,868,2753,1895,858,2081.18,-1.8489378442171467,-0.9933113231782253,0.688339992735198,0.31166000726480203
AAPL,2015-05-02,125.57,130.63,125.17,130.28,110921384270,3106,0.23550450209843557,835,2621,1869,752,2117.69,4.432865731462932,1.7542932374902787,0.7130866081648226,0.2869133918351774
AAPL,2015-05-09,132.31,134.54,124.58,128.95,670473018220,11473,0.17731075254419013,2155,7468,5001,2467,2108.29,-1.0208781086889829,-0.44387988799116096,0.6696572040707016,0.3303427959292983
AAPL,2015-05-16,129.5,130.57,123.36,127.62,126140458650,1707,0.14783899343544835,722,2285,1479,806,2116.1,-1.0314075222954466,0.3704423964445036,0.6472647702407002,0.3527352297592998
AAPL,2015-05-23,127.39,129.49,124.82,128.77,64782945100,1151,0.21961187540558122,602,1541,1089,452,2122.73,0.9011126782636047,0.31331222532016145,0.7066839714471123,0.29331602855288774
AAPL,2015-05-30,128.38,132.97,128.36,132.54,144378007170,3636,0.19252404170499743,1053,3261,2276,985,2126.06,2.927700551370638,0.15687346011974412,0.6979454155167126,0.3020545844832873
AAPL,2015-06-06,132.6,132.91,129.12,130.28,106915503360,1667,0.19005951903807583,616,1996,1347,649,2107.39,-1.7051456164176804,-0.8781501933153413,0.6748496993987976,0.3251503006012024
AAPL,2015-06-13,131.2,131.39,128.36,128.65,62182894210,1243,0.19820318435754253,632,1790,1240,550,2092.83,-1.2511513662879947,-0.690902016238093,0.6927374301675978,0.30726256983240224
